| Проп                 | Тип / допустимые значения              | Значение по умолчанию                             | Описание                                                                                                                                                                  |
| -------------------- | -------------------------------------- | ------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| `autoWidth`          | `boolean`                              | `false` ([mui.com][1])                            | Если `true`, ширина выпадающего меню подгоняется под содержимое меню; иначе минимум — ширина самого селекта. ([mui.com][1])                                               |
| `children`           | `ReactNode`                            | —                                                 | Опции, которые отображаются внутри меню: `MenuItem`, или `option`, если `native=true`. ([mui.com][1])                                                                     |
| `classes`            | `object`                               | —                                                 | Позволяет переопределить CSS-классы компонента (для стилизации). ([mui.com][1])                                                                                           |
| `defaultOpen`        | `boolean`                              | `false` ([mui.com][1])                            | Если `true`, меню будет открыто по умолчанию (если управляемый `open` не используется). ([mui.com][1])                                                                    |
| `defaultValue`       | `any`                                  | —                                                 | Начальное значение, когда компонент *не контролируемый*. ([mui.com][1])                                                                                                   |
| `displayEmpty`       | `boolean`                              | `false` ([mui.com][1])                            | Если `true`, отображается значение даже если выбран пустой. Можно использовать `renderValue` для кастомизации отображения пустого состояния. ([mui.com][1])               |
| `IconComponent`      | компонент / элемент (ElementType)      | `ArrowDropDownIcon` (по умолчанию) ([mui.com][1]) | Компонент иконки стрелки, показывающей, что это селект. Можно заменить. ([mui.com][1])                                                                                    |
| `id`                 | `string`                               | —                                                 | Атрибут `id` для обёртки или `select` / внутреннего `input`, особенно если `native=true`. ([mui.com][1])                                                                  |
| `input`              | `element`                              | —                                                 | Можно передать собственный компонент `Input` (или `OutlinedInput`/`FilledInput`/`InputBase`). ([mui.com][1])                                                              |
| `inputProps`         | `object`                               | —                                                 | Пропсы, которые применятся к самому `input` HTML-элементу или внутреннему `input`, если `native=true`. ([mui.com][1])                                                     |
| `label`              | `node`                                 | —                                                 | Метка, используемая с `FormControl` / `InputLabel` чтобы указать заголовок селекта. ([mui.com][1])                                                                        |
| `labelId`            | `string`                               | —                                                 | `id` компонента метки (`InputLabel`), для связи метки с селектом. ([mui.com][1])                                                                                          |
| `MenuProps`          | `object`                               | —                                                 | Пропсы, передаваемые компоненту `Menu`, который отображает список опций. Позволяет кастомизировать поведение и стили меню. ([mui.com][1])                                 |
| `multiple`           | `boolean`                              | `false` ([mui.com][1])                            | Если `true`, допускается множественный выбор. Тогда `value` должен быть массивом. ([mui.com][1])                                                                          |
| `native`             | `boolean`                              | `false` ([mui.com][1])                            | Если `true`, используется нативный HTML `<select>` / `<option>` вместо кастомного MUI списка меню. ([mui.com][1])                                                         |
| `onChange`           | `function(event, child?)`              | —                                                 | Колбэк, вызываемый когда пользователь меняет выбор. Аргумент — событие + (если не `native`) выбранный дочерний элемент. ([mui.com][1])                                    |
| `onClose`            | `function(event)`                      | —                                                 | Колбэк, когда меню закрывается. ([mui.com][1])                                                                                                                            |
| `onOpen`             | `function(event)`                      | —                                                 | Колбэк, когда меню открывается. ([mui.com][1])                                                                                                                            |
| `open`               | `boolean`                              | —                                                 | Управляемое состояние: если задаёшь `open`, сам Select не управляет открытостью меню. ([mui.com][1])                                                                      |
| `renderValue`        | `function(value: any) ⇒ ReactNode`     | —                                                 | Пользовательская функция для отрисовки отображаемого значения (когда что-то выбрано). Особенно полезно для `multiple` или нестандартного формата значений. ([mui.com][1]) |
| `SelectDisplayProps` | `object`                               | —                                                 | Пропсы, применяемые к диву/контейнеру, который показывает выбранное значение (когда `native=false`). ([mui.com][1])                                                       |
| `sx`                 | объект \| функция \| массив            | —                                                 | Стили через систему MUI (theme, responsive, кастомные стили). ([mui.com][1])                                                                                              |
| `value`              | `any`                                  | —                                                 | Текущее значение; если компонент *контролируемый*. ([mui.com][1])                                                                                                         |
| `variant`            | `'standard' \| 'outlined' \| 'filled'` | `outlined` (или тема по-умолчанию) ([mui.com][1]) | Вид поля ввода / оформления.                                                                                                                                              |






| Атрибут     | Возможные значения      | По умолчанию                           | Описание                                                                                             |
| ----------- | ----------------------- | -------------------------------------- | ---------------------------------------------------------------------------------------------------- |
| `autofocus` | `boolean` (`autofocus`) | `false`                                | Автоматически фокусирует элемент при загрузке страницы.                                              |
| `disabled`  | `boolean` (`disabled`)  | `false`                                | Делает список недоступным для взаимодействия.                                                        |
| `form`      | `id` формы              | —                                      | Связывает `<select>` с конкретной формой по `id` (даже если не вложен внутрь).                       |
| `multiple`  | `boolean` (`multiple`)  | `false`                                | Разрешает множественный выбор.                                                                       |
| `name`      | `string`                | —                                      | Имя поля формы (ключ при отправке данных).                                                           |
| `required`  | `boolean` (`required`)  | `false`                                | Обязывает выбрать значение перед отправкой формы.                                                    |
| `size`      | целое число ≥ 1         | `0` (обычно браузеры трактуют как `1`) | Количество одновременно видимых опций. Работает только если список не «выпадающий», а «развёрнутый». |

